user_id,true,raw_pred,adjusted_pred,transition,max_model_probability,model_probability_not_churned,model_probability_vol_churn,model_probability_invol_churn,attempt_count,purchase_count,attempt_failure_rate,attempt_failure_count,attempt_success_count,attempt_active_days,purchase_active_days,activity_days_total,attempt_last_day,purchase_last_day,country_code,subscription_plan,quiz_role,quiz_frustration,attempt_last_card_country,attempt_last_bank_name,attempt_last_card_funding,attempt_last_card_3d_secure_support,attempt_last_cvc_check,attempt_last_failure_code
user_3286eb6a-a1bf-4ce3-9bc0-7b740cdcff18,invol_churn,not_churned,not_churned,invol_churn -> not_churned,0.936837089284999,0.936837089284999,0.0319267218001043,0.0312361889148966,2.0,2.0,0.0,0.0,2.0,2.0,2.0,4.0,10.16201388888889,10.16201388888889,AE,Higgsfield Ultimate,,limited,ae,CORPORATE COMMERCIAL BANK A.D.,debit,optional,not_provided,
user_8cd5ec00-08a9-4dd9-ac4c-9455b9ec21e9,not_churned,vol_churn,vol_churn,not_churned -> vol_churn,0.918619137421074,0.0595330231814984,0.918619137421074,0.0218478393974274,2.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.00034722222222222224,0.00034722222222222224,US,Higgsfield Ultimate,,confusing,ee,"BANCO ITAU, S.A.",debit,optional,pass,
user_c003f5d6-419a-4be0-96be-cfd43e9782ee,invol_churn,not_churned,not_churned,invol_churn -> not_churned,0.9060951041882404,0.9060951041882404,0.0752300836315534,0.0186748121802061,2.0,2.0,0.0,0.0,2.0,2.0,2.0,4.0,10.09011574074074,10.09011574074074,DE,Higgsfield Ultimate,,inconsistent,de,EURO KARTENSYSTEME GMBH,credit,optional,not_provided,
user_30d500bc-b1b2-4bbe-b547-245387aa055d,not_churned,vol_churn,vol_churn,not_churned -> vol_churn,0.9036487865165642,0.0674182325717272,0.9036487865165642,0.0289329809117085,2.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0003587962962962963,0.0003587962962962963,US,Higgsfield Ultimate,,,ee,"BANCO ITAU, S.A.",debit,optional,pass,
user_fad4d44a-2aac-42c5-9179-230d447c6cc9,not_churned,vol_churn,vol_churn,not_churned -> vol_churn,0.8978487045009801,0.0791294971862464,0.8978487045009801,0.0230217983127734,2.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.00030092592592592595,0.00030092592592592595,US,Higgsfield Ultimate,,hard-prompt,ee,"BANCO ITAU, S.A.",debit,optional,pass,
user_5a9d7cce-9692-41e5-a439-a1f54e66dfab,not_churned,vol_churn,vol_churn,not_churned -> vol_churn,0.8975152123537928,0.0778813308175465,0.8975152123537928,0.0246034568286604,2.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0004398148148148148,0.0004398148148148148,US,Higgsfield Ultimate,,hard-prompt,ee,"BANCO ITAU, S.A.",debit,optional,pass,
user_4c765f93-e78b-4060-8856-bb1f006c55b8,vol_churn,invol_churn,invol_churn,vol_churn -> invol_churn,0.896323492276507,0.010100516603177,0.093575991120316,0.896323492276507,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,JP,Higgsfield Creator,,high-cost,jp,"JCB INTERNATIONAL CREDIT CARD CO., LTD.",debit,not_supported,unavailable,
user_a79690e8-95ee-4afb-9f3a-2aa14792c788,vol_churn,invol_churn,invol_churn,vol_churn -> invol_churn,0.8962517830244987,0.0134764025353552,0.0902718144401458,0.8962517830244987,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,JP,Higgsfield Creator,,limited,jp,"JCB INTERNATIONAL CREDIT CARD CO., LTD.",debit,not_supported,unavailable,
user_b287731c-5cc0-4819-aaf0-c7aba528e339,not_churned,vol_churn,vol_churn,not_churned -> vol_churn,0.8910107922543051,0.0855207765753779,0.8910107922543051,0.023468431170317,2.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0006597222222222222,0.0006597222222222222,US,Higgsfield Ultimate,,confusing,ee,"BANCO ITAU, S.A.",debit,optional,pass,
user_618811e6-cecc-418b-ae33-2d4dc60ae18a,vol_churn,invol_churn,invol_churn,vol_churn -> invol_churn,0.8861564500650887,0.0150102568737963,0.0988332930611149,0.8861564500650887,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,JP,Higgsfield Creator,,confusing,jp,"JCB INTERNATIONAL CREDIT CARD CO., LTD.",debit,not_supported,unavailable,
